# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
1000 0.021554604207931 0.00021825430996231 0.01 0.097573230820468 0.0022388078546072
1097.4987654931 0.023623904353889 0.00023949620785588 0.01 0.097574740894607 0.0024568767807333
1204.5035402588 0.025888474943908 0.00026280148551025 0.01 0.097576398004929 0.0026961638496583
1321.941148466 0.028366063695046 0.00028836975464133 0.01 0.097578216447631 0.0029587289673296
1450.8287784959 0.031075895700346 0.00031641977040563 0.01 0.097580211904676 0.0032468310772254
1592.2827933411 0.034038769141831 0.00034719123326476 0.01 0.097582401577289 0.0035629472000579
1747.5284000077 0.037277151494529 0.00038094675348762 0.01 0.097584804332066 0.0039097932555938
1917.9102616725 0.040815274773192 0.0004179739915345 0.01 0.097587440860977 0.0042903468253689
2104.904144512 0.044679228016456 0.00045858798834076 0.01 0.097590333856471 0.004707872027571
2310.1297000832 0.048897044792201 0.00050313370026686 0.01 0.097593508203065 0.0051659466884729
2535.3644939701 0.053498783039921 0.00055198875418466 0.01 0.097596991186925 0.0056684920084847
2782.5594022071 0.058516594039682 0.00060556643879974 0.01 0.097600812725039 0.006219804935071
3053.8555088334 0.06398477671373 0.00066431894883383 0.01 0.097605005615715 0.006824593469349
3351.6026509388 0.069939812830154 0.00072874089906925 0.01 0.097609605812327 0.007488015147962
3678.3797718286 0.07642037799686 0.00079937312543776 0.01 0.097614652722233 0.0082157189566576
4037.0172585966 0.083467322622523 0.00087680679026202 0.01 0.09762018953316 0.0090138909465643
4430.6214575839 0.091123616300365 0.00096168780835209 0.01 0.09762626356929 0.0098893038382101
4862.6015800654 0.099434248370521 0.0010547216098389 0.01 0.097632926679536 0.010849370911347
5336.6992312063 0.10844607677734 0.001156678254287 0.01 0.097640235660712 0.011902204490206
5857.0208180567 0.11820761681117 0.0012683979086466 0.01 0.097648252718321 0.013056679343207
6428.0731172843 0.12876876097461 0.0013907966988399 0.01 0.097657045967971 0.014322501322673
7054.8023107186 0.14018042111906 0.0015248729410631 0.01 0.097666689980511 0.015710281572721
7742.6368268113 0.15249408424954 0.0016717137540269 0.01 0.097677266374152 0.017231616631233
8497.5343590864 0.16576127409716 0.0018325020471437 0.01 0.09768886445692 0.018899174743139
9326.0334688322 0.18003291181769 0.0020085238718476 0.01 0.097701581922952 0.020726788685791
10235.31021899 0.1953585711035 0.0022011761135256 0.01 0.097715525606151 0.0227295553809
11233.24032978 0.21178562569714 0.0024119744896466 0.01 0.097730812294788 0.024923942529442
12328.467394421 0.22935829084996 0.0026425618052648 0.01 0.097747569610587 0.027327902453421
13530.477745798 0.24811656472726 0.0028947163997996 0.01 0.097765936955753 0.029960993258738
14849.682622545 0.26809508111412 0.003170360698498 0.01 0.097786066531226 0.032844507343484
16297.508346206 0.2893218909453 0.0034715697579069 0.01 0.097808124429144 0.036001607162112
17886.495290574 0.31181719699511 0.0038005796667004 0.01 0.097832291802148 0.039457468014514
19630.406500403 0.33559207324033 0.0041597956310295 0.01 0.09785876611155 0.043239427455686
21544.346900319 0.36064720755295 0.004551799537003 0.01 0.097887762455714 0.047377140712285
23644.894126454 0.38697171297902 0.0049793567419113 0.01 0.097919514979049 0.051902741242403
25950.242113997 0.41454205830455 0.0054454218004949 0.01 0.097954278360847 0.056851005280226
28480.358684358 0.4433211722281 0.005953142783349 0.01 0.097992329381774 0.062259518863802
31257.158496882 0.47325777657114 0.0065058637921873 0.01 0.098033968564058 0.068168845448993
34304.692863149 0.50428600194699 0.0071071252223746 0.01 0.098079521879333 0.07462269176358
37649.358067925 0.53632533371161 0.0077606612686357 0.01 0.098129342515642 0.081668069052425
41320.124001153 0.56928092660759 0.0084703941176101 0.01 0.098183812692179 0.089355446309465
45348.785081286 0.60304431337655 0.0092404242241725 0.01 0.098243345507076 0.097738891490631
49770.235643321 0.63749451621575 0.010075016031304 0.01 0.098308386799737 0.10687619606289
54622.772176843 0.67249955113749 0.010978578470861 0.01 0.098379417005008 0.11682897758305
59948.425031894 0.7079182952527 0.011955639580864 0.01 0.098456952971838 0.12766275433635
65793.322465757 0.74360266719957 0.013010814600906 0.01 0.098541549714005 0.13944698542692
72208.090183855 0.77940005295753 0.014148766968485 0.01 0.098633802055186 0.15225506913506
79248.289835392 0.81515589466217 0.015374161743595 0.01 0.098734346125051 0.16616429188462
86974.900261778 0.85071635007638 0.016691611144454 0.01 0.098843860657514 0.18125571984837
95454.845666183 0.88593092599714 0.01810561209066 0.01 0.098963068036843 0.19761402512069
104761.57527897 0.92065499049556 0.019620475926345 0.01 0.099092735032358 0.21532723857034
114975.69953977 0.95475207634844 0.021240250836702 0.01 0.099233673158198 0.23448642201839
126185.6883066 0.98809590062754 0.022968637874125 0.01 0.0993867385915 0.25518525333597
138488.63713939 1.0205720420209 0.02480890196654 0.01 0.099552831580689 0.2775195194801
151991.10829529 1.052079236617 0.026763779774935 0.01 0.099732895275897 0.30158651442997
166810.05372001 1.0825302730024 0.028835386776062 0.01 0.099927913916087 0.32748434146986
183073.82802954 1.1118524870724 0.031025126438379 0.01 0.10013891031291 0.35531112228016
200923.3002565 1.1399878746022 0.03333360479516 0.01 0.10036694257966 0.38516411879183
220513.0739903 1.1668928543518 0.03576055405381 0.01 0.10061310006539 0.41713877763587
242012.82647944 1.1925377256478 0.038304769067319 0.01 0.10087849846926 0.45132771112794
265608.77829467 1.2169058717389 0.040964060487255 0.01 0.1011642741283 0.4878196328704
291505.30628252 1.2399927638444 0.043735228179876 0.01 0.10147157749268 0.52669826998548
319926.71377974 1.2618048210834 0.046614057993559 0.01 0.10180156582575 0.5680412774392
351119.17342151 1.2823581789278 0.049595344211758 0.01 0.10215539519041 0.61191918258886
385352.85937105 1.3016774141411 0.05267293902998 0.01 0.10253421180794 0.65839438971273
422924.28743895 1.3197942680156 0.055839829202725 0.01 0.10293914289895 0.70752027462642
464158.88336128 1.336746402763 0.059088238687022 0.01 0.10337128713706 0.7593403983931
509413.80148164 1.3525762186907 0.06240975475417 0.01 0.10383170486351 0.81388786652724
559081.01825122 1.3673297527769 0.06579547375419 0.01 0.10432140822283 0.87118485601818
