# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
1000 0.031972665413333 0.00032750160898098 0.01 0.14641355807679 0.0022388078546073
1097.4987654931 0.035003026632698 0.00035937037616365 0.01 0.14641347206828 0.0024568767807333
1204.5035402588 0.038311609340387 0.00039433360871457 0.01 0.14641337767153 0.0026961638496585
1321.941148466 0.041922184251255 0.00043269042473168 0.01 0.14641327406822 0.0029587289673297
1450.8287784959 0.045860205369073 0.00047476857942017 0.01 0.14641316036009 0.0032468310772254
1592.2827933411 0.050152859998836 0.00052092715039672 0.01 0.14641303556119 0.0035629472000583
1747.5284000077 0.054829104866573 0.00057155946325939 0.01 0.1464128985893 0.0039097932555939
1917.9102616725 0.059919684433396 0.00062709627653299 0.01 0.14641274825649 0.0042903468253692
2104.904144512 0.06545712692103 0.00068800924611223 0.01 0.14641258325881 0.004707872027571
2310.1297000832 0.07147571298099 0.00075481469026509 0.01 0.14641240216489 0.0051659466884731
2535.3644939701 0.078011411360002 0.00082807767710112 0.01 0.1464122034035 0.0056684920084849
2782.5594022071 0.085101775369199 0.00090841645709573 0.01 0.14641198524984 0.006219804935071
3053.8555088334 0.092785793491845 0.00099650726374298 0.01 0.14641174581047 0.0068245934693488
3351.6026509388 0.10110368711209 0.0010930895056127 0.01 0.14641148300681 0.007488015147962
3678.3797718286 0.11009664817423 0.001198971372926 0.01 0.14641119455695 0.0082157189566578
4037.0172585966 0.11980650965794 0.0013150358811401 0.01 0.14641087795573 0.0090138909465642
4430.6214575839 0.13027534215946 0.001442247372817 0.01 0.14641053045272 0.0098893038382103
4862.6015800654 0.14154497068905 0.0015816584971041 0.01 0.14641014902825 0.010849370911347
5336.6992312063 0.1536564071211 0.001734417683298 0.01 0.14640973036682 0.011902204490206
5857.0208180567 0.16664919565353 0.0019017771209937 0.01 0.14640927082801 0.013056679343207
6428.0731172843 0.18056067122201 0.0020851012540075 0.01 0.14640876641449 0.014322501322673
7054.8023107186 0.19542513412556 0.0022858757883195 0.01 0.1464082127368 0.015710281572721
7742.6368268113 0.21127294816756 0.0025057172054012 0.01 0.14640760497465 0.017231616631233
8497.5343590864 0.22812957436336 0.0027463827611158 0.01 0.14640693783434 0.018899174743139
9326.0334688322 0.24601455760597 0.003009780936496 0.01 0.1464062055019 0.020726788685792
10235.31021899 0.26494048942635 0.0032979822896667 0.01 0.1464054015916 0.0227295553809
11233.24032978 0.28491197585234 0.0036132306375075 0.01 0.14640451908916 0.024923942529442
12328.467394421 0.3059246449833 0.0039579544707967 0.01 0.14640355028932 0.027327902453421
13530.477745798 0.32796423379169 0.0043347784770094 0.01 0.14640248672712 0.029960993258738
14849.682622545 0.35100579730859 0.0047465350100917 0.01 0.14640131910212 0.032844507343484
16297.508346206 0.3750130851904 0.005196275305848 0.01 0.14640003719496 0.036001607162112
17886.495290574 0.39993813016898 0.0056872801945883 0.01 0.14639862977549 0.039457468014513
19630.406500403 0.42572108961644 0.0062230700089766 0.01 0.14639708450137 0.043239427455686
21544.346900319 0.45229037513484 0.0068074133243952 0.01 0.14639538780634 0.047377140712285
23644.894126454 0.4795630956649 0.0074443341015997 0.01 0.14639352477702 0.051902741242403
25950.242113997 0.50744582734068 0.0081381167273687 0.01 0.14639147901698 0.056851005280226
28480.358684358 0.53583570875312 0.0088933083690892 0.01 0.14638923249666 0.062259518863802
31257.158496882 0.56462184428339 0.0097147179752305 0.01 0.14638676538788 0.068168845448993
34304.692863149 0.59368698183262 0.010607411167699 0.01 0.14638405588101 0.07462269176358
37649.358067925 0.62290941586802 0.011576700187356 0.01 0.14638107998311 0.081668069052425
41320.124001153 0.65216505350879 0.01262812797492 0.01 0.14637781129507 0.089355446309465
45348.785081286 0.68132957154993 0.013767445401758 0.01 0.14637422076538 0.097738891490631
49770.235643321 0.71028058676428 0.015000580616019 0.01 0.14637027641824 0.10687619606289
54622.772176843 0.73889976105255 0.016333599447842 0.01 0.14636594305329 0.11682897758305
59948.425031894 0.76707476709871 0.017772655833602 0.01 0.14636118191405 0.12766275433635
65793.322465757 0.79470104875328 0.019323931284887 0.01 0.14635595032206 0.13944698542692
72208.090183855 0.82168332261871 0.02099356255624 0.01 0.1463502012732 0.15225506913506
79248.289835392 0.84793678216 0.022787556869711 0.01 0.14634388299288 0.16616429188462
86974.900261778 0.87338798184625 0.024711694346674 0.01 0.14633693844619 0.18125571984837
95454.845666183 0.89797539506524 0.026771417688923 0.01 0.14632930479927 0.19761402512069
104761.57527897 0.92164965467436 0.028971709648813 0.01 0.14632091282808 0.21532723857034
114975.69953977 0.94437349811382 0.031316959433479 0.01 0.14631168627069 0.23448642201839
126185.6883066 0.96612144935625 0.033810819894331 0.01 0.14630154111958 0.25518525333597
138488.63713939 0.98687927726166 0.036456058143053 0.01 0.14629038485081 0.2775195194801
151991.10829529 1.0066432741036 0.039254403079784 0.01 0.14627811558741 0.30158651442997
166810.05372001 1.0254193993414 0.042206394175032 0.01 0.14626462119566 0.32748434146986
183073.82802954 1.0432223325287 0.045311236657022 0.01 0.14624977831361 0.35531112228016
200923.3002565 1.0600744760766 0.048566668951277 0.01 0.14623345131355 0.38516411879183
220513.0739903 1.0760049439881 0.051968848720748 0.01 0.14621549120173 0.41713877763587
242012.82647944 1.0910485671879 0.055512264081533 0.01 0.14619573446148 0.45132771112794
265608.77829467 1.1052449401734 0.059189676444623 0.01 0.14617400184907 0.4878196328704
291505.30628252 1.1186375278193 0.062992100896872 0.01 0.14615009715497 0.52669826998548
319926.71377974 1.1312728455816 0.066908829048293 0.01 0.14612380594765 0.5680412774392
351119.17342151 1.1431997212927 0.070927497837285 0.01 0.14609489432109 0.61191918258886
385352.85937105 1.1544686423361 0.075034205942411 0.01 0.14606310767207 0.65839438971273
422924.28743895 1.1651311883054 0.079213677286953 0.01 0.14602816953808 0.70752027462642
464158.88336128 1.1752395462728 0.083449468772221 0.01 0.14598978053111 0.7593403983931
509413.80148164 1.1848461034884 0.087724217003811 0.01 0.14594761740694 0.81388786652724
559081.01825122 1.1940031106246 0.09201991656774 0.01 0.14590133231289 0.87118485601818
613590.72734132 1.202762407491 0.096318220557052 0.01 0.14585055225997 0.93124232712725
673415.06577508 1.2111752023855 0.10060075270918 0.01 0.14579487886628 0.99405993051595
739072.20335258 1.2192918958369 0.10484941981341 0.01 0.14573388841915 1.0596261132152
811130.83078969 1.2271619393556 0.10904671305212 0.01 0.14566713230203 1.1279184196769
890215.08544504 1.234833719881 0.11317598764833 0.01 0.14559413782924 1.198903977111
977009.95729922 1.2423544608499 0.1172217115392 0.01 0.14551440952821 1.2725401479364
1072267.2220103 1.2497701311786 0.12116967565493 0.01 0.14542743090315 1.3487753268284
1176811.952435 1.2571253539308 0.12500716059119 0.01 0.14533266670879 1.4275498558048
1291549.6650149 1.2644633070325 0.12872305683128 0.01 0.14522956575626 1.5087970282254
1417474.1629268 1.271825609104 0.13230793801779 0.01 0.14511756426738 1.5924441515141
1555676.1439305 1.2792521843232 0.13575408892506 0.01 0.14499608978769 1.6784136387952
1707352.6474707 1.2867811012418 0.13905549161259 0.01 0.14486456566403 1.7666241012819
1873817.4228604 1.2944483816784 0.14220777465966 0.01 0.14472241608899 1.8569914159442
2056512.3083487 1.302287777237 0.14520813135127 0.01 0.14456907171205 1.9494297464263
2257019.7196339 1.3103305126706 0.14805521320818 0.01 0.144403975817 2.0438524990999
2477076.3559917 1.3186049972427 0.1507490053677 0.01 0.14422659106497 2.1401732002498
2718588.2427329 1.3271365074229 0.15329069008938 0.01 0.14403640680451 2.2383062844493
2983647.2402833 1.3359468466526 0.1556825041601 0.01 0.14383294695102 2.3381677880042
3274549.1628777 1.3450539904764 0.15792759528778 0.01 0.14361577843959 2.4396759447716
3593813.6638046 1.3544717279361 0.16002988178213 0.01 0.14338452025469 2.5427516846143
3944206.0594377 1.3642093126378 0.16199391899297 0.01 0.14313885303772 2.6473190371796
4328761.2810831 1.3742711391418 0.16382477516848 0.01 0.14287852926695 2.7533054455953
4750810.1621028 1.3846564620765 0.16552791864765 0.01 0.14260338399347 2.8606419960908
5214008.2879997 1.3953591764217 0.16710911763948 0.01 0.14231334609954 2.969263570521
5722367.6593502 1.4063676775177 0.16857435327845 0.01 0.14200845002234 3.0791089293688
6280291.4418342 1.4176648183418 0.16992974618178 0.01 0.14168884785481 3.1901207330999
6892612.1043497 1.429227979326 0.17118149636036 0.01 0.14135482169728 3.3022455098062
7564633.2755463 1.4410292624231 0.17233583603735 0.01 0.14100679608863 3.4154335769699
8302175.6813197 1.4530358163406 0.17339899468673 0.01 0.14064535029626 3.5296389249536
9111627.5611549 1.4652102940428 0.17437717540023 0.01 0.14027123019139 3.6448190695137
10000000 1.4775114371123 0.17527654150698 0.01 0.13988535938471 3.7609348802648
