# column 1: total pressure [Pa]
# column 2: pure component isotherm value
# column 3: mixture component isotherm value
# column 4: gas-phase mol-fraction y_i
# column 5: adsorbed phase mol-fraction x_i
# column 6: hypothetical pressure p_i^*
# column 7: reduced grand potential psi_i
1000 0.046027378152333 0.0004773874988612 0.01 0.21342185923034 0.0022388078546072
1097.4987654931 0.050330574396448 0.00052384034185283 0.01 0.21342127328041 0.0024568767807335
1204.5035402588 0.055017309018966 0.00057480353668743 0.01 0.21342063025844 0.0026961638496583
1321.941148466 0.060118129877576 0.00063071301706828 0.01 0.21341992461163 0.0029587289673299
1450.8287784959 0.065665318728504 0.00069204644265067 0.01 0.2134191502483 0.0032468310772256
1592.2827933411 0.071692851103082 0.00075932710969586 0.01 0.21341830048559 0.0035629472000582
1747.5284000077 0.078236322122337 0.00083312821121217 0.01 0.21341736799262 0.0039097932555942
1917.9102616725 0.085332832049259 0.00091407747428982 0.01 0.21341634472786 0.004290346825369
2104.904144512 0.093020824947788 0.0010028622037809 0.01 0.21341522187077 0.0047078720275707
2310.1297000832 0.10133987352134 0.0011002347628146 0.01 0.21341398974685 0.005165946688473
2535.3644939701 0.11033040310247 0.0012070185218193 0.01 0.2134126377456 0.0056684920084847
2782.5594022071 0.12003334793057 0.0013241143086762 0.01 0.21341115423073 0.0062198049350709
3053.8555088334 0.13048973336596 0.0014525073932705 0.01 0.21340952644194 0.0068245934693487
3351.6026509388 0.14174017863411 0.0015932750399307 0.01 0.21340774038741 0.0074880151479619
3678.3797718286 0.15382431615962 0.0017475946609278 0.01 0.21340578072633 0.0082157189566573
4037.0172585966 0.1667801256205 0.0019167526031952 0.01 0.21340363064043 0.0090138909465643
4430.6214575839 0.18064318359608 0.002102153598544 0.01 0.21340127169362 0.0098893038382101
4862.6015800654 0.19544583313851 0.0023053309046637 0.01 0.21339868367869 0.010849370911347
5336.6992312063 0.21121628176888 0.0025279571598758 0.01 0.21339584444993 0.011902204490206
5857.0208180567 0.22797764122819 0.002771855968627 0.01 0.21339272974054 0.013056679343207
6428.0731172843 0.24574692767437 0.0030390142267317 0.01 0.21338931296344 0.014322501322673
7054.8023107186 0.2645340466959 0.0033315951849928 0.01 0.21338556499429 0.015710281572721
7742.6368268113 0.28434079320813 0.0036519522365737 0.01 0.21338145393505 0.017231616631233
8497.5343590864 0.30515990161151 0.0040026433968404 0.01 0.21337694485678 0.01889917474314
9326.0334688322 0.32697418604745 0.0043864464237393 0.01 0.21337199951992 0.020726788685791
10235.31021899 0.3497558136563 0.0048063745014663 0.01 0.21336657607035 0.0227295553809
11233.24032978 0.37346575488145 0.0052656923794962 0.01 0.21336062870965 0.024923942529442
12328.467394421 0.39805345357618 0.0057679328221935 0.01 0.21335410733754 0.027327902453421
13530.477745798 0.42345675556887 0.00631691318042 0.01 0.21334695716467 0.029960993258738
14849.682622545 0.44960212722174 0.0069167518449627 0.01 0.21333911829399 0.032844507343484
16297.508346206 0.4764051854192 0.0075718842814305 0.01 0.21333052526871 0.036001607162112
17886.495290574 0.50377154767364 0.0082870782768128 0.01 0.21332110658484 0.039457468014514
19630.406500403 0.53159799627741 0.0090674479485772 0.01 0.21331078416679 0.043239427455686
21544.346900319 0.55977393457966 0.0099184659777172 0.01 0.21329947280392 0.047377140712285
23644.894126454 0.58818309766494 0.010845973427577 0.01 0.21328707954681 0.051902741242403
25950.242113997 0.61670546520786 0.011856186401183 0.01 0.2132735030616 0.056851005280226
28480.358684358 0.64521931230595 0.012955698672451 0.01 0.21325863294137 0.062259518863802
31257.158496882 0.67360332571819 0.014151479303259 0.01 0.21324234897395 0.068168845448993
34304.692863149 0.70173870893036 0.015450864132304 0.01 0.21322452036557 0.07462269176358
