# [kPa] [mol/kg]
1 0.0327457059
3 0.0967815357
10 0.2650626303
30 0.5591635517
100 0.8872212624
200 1.1717084964
300 2.2821611129
500 3.5597350852
1000 3.7575874781
3000 3.9223257871
10000 4.0913411927
30000 4.1840021109
100000 4.1744218383
300000 4.1830461211
1000000 4.2100200285
