# [kPa] [mol/kg]
1 0.0183439197
3 0.0520415404
10 0.1463275597
30 0.3011636728
100 0.5266167047
300 1.5053155118
1000 3.5942908962
3000 3.8096445034
10000 3.9551864073
30000 4.1909043081
100000 4.0966272537
300000 4.0680665500
1000000 4.0269475799
