# [kPa]	[kPa]
0.001 0.0088557416	0.0145264805
0.003 0.0250672254	0.0428626531
0.01 0.0660354213	0.1208263491
0.03 0.1270863299	0.2720182097
0.1 0.1983829550	0.5117715609
0.2 0.2812239919	0.6593004240
0.3 0.4200747824	0.7645481333
0.5 1.6290289826	1.1324126713
1 2.3131313510	1.2603107368
3 2.5024804878	1.2833180610
10 2.6292762718	1.3305030429
30 2.7699110876	1.3269235825
100 2.8854982379	1.3053082707
