# [kPa]	[kPa]
0.001 0.0086968174	0.0165105872
0.003 0.0243573643	0.0476699043
0.01 0.0651515587	0.1377970013
0.03 0.1196910604	0.3054607368
0.1 0.1965329151	0.5820673714
0.2 0.3410010624	0.8277632626
0.3 1.1507924508	1.6274658212
0.5 1.5651598195	2.0419949664
1 1.6558843082	2.1372879127
3 1.7387518325	2.2277039257
10 1.8303923763	2.2974708041
30 1.9114978802	2.3320889623
100 1.9707134188	2.3781411004
