# [kPa]	[kPa]
0.001 0.0084743237	0.0363288338
0.003 0.0224392723	0.1117130690
0.01 0.0495949237	0.3233128067
0.03 0.0717350926	0.6235571645
0.1 0.1261690524	0.8700680512
0.2 0.3140805372	1.0570647034
0.3 1.2117867172	1.7722041395
0.5 1.5692722870	2.0711579519
1 1.6707115221	2.1170784683
3 1.7714734960	2.1904056547
10 1.8464575684	2.2660013812
30 1.9517916673	2.2546798707
100 1.9400928138	2.3647621336
