# [kPa]	[kPa]
0.001 0.0167074086	0.0367424440
0.003 0.0473985108	0.1097807146
0.01 0.1212921191	0.3113315572
0.03 0.2043047126	0.5391696735
0.1 0.2755373605	0.7146895585
0.2 0.3795813214	0.8279376716
0.3 0.9096128574	1.3595368516
0.5 1.5712266463	1.9611453711
1 1.6693288822	2.0463054779
3 1.7944351804	2.1279301339
10 1.9351836881	2.1409578377
30 1.9885121065	2.1882230966
100 2.0410626115	2.2439675693
300 2.1141224794	2.2251228348
1000 2.1196774891	2.2611880176
