# [kPa]	[kPa]
0.001 0.0090941278	0.0124107521
0.003 0.0257872740	0.0352966419
0.01 0.0690154525	0.0967664582
0.03 0.1374836355	0.2002941195
0.1 0.2383890486	0.3794765945
0.2 0.3783303032	0.5937544075
0.3 0.9265741372	1.1960841981
0.5 1.6180412127	1.9014216828
1 1.7000790715	2.0247431408
3 1.8134262066	2.1121440778
10 1.8475243976	2.2525690322
30 1.9194929864	2.2901423642
100 1.9846600300	2.3175351794
